years,datetime,city,state,shape,duration (seconds),comments,latitude,longitude 
1998,02 June 1998,webster,tx,light,300,Circular pulsating lights approximately 1 mile in distance from observers.,29.5375,-95.1180556
1998,05 June 1998,auburn,wa,sphere,720,Heard airplane&#44 looked up and saw silver sphere.,47.3075,-122.2272222
1998,05 June 1998,manito (2 miles north of),il,triangle,90,2 unknown flying objects moving&#44 far too complex for a plane. There is no area around where missles would be launched,40.4258333,-89.7791667
1998,06 June 1998,ashland,oh,cone,300,two silver cone shaped objects,40.8686111,-82.3183333
1998,06 June 1998,st. louis,mo,diamond,4,Saw hourglass shape object travel at a great speed across horizon going east to west. object covered distance in about 3 or 4 seconds.,38.6272222,-90.1977778
1998,06 June 1998,montverde,fl,egg,4,IT WAS JUST BEFORE DARK WHEN I WAS I WAS RIDING HOME ON MY FOURWHEELER &#44 WHEN I SAW A BRIGHT YELLOW OBJECT ABOUT THREEHUNDRED FEET UP I,28.6,-81.6741667
1998,06 June 1998,salinas,ca,fireball,10,Fireball flickers to a huge tumbling black potato&#44 eyes and all&#44 looking rock,36.6777778,-121.6544444
1998,06 June 1998,reno,nv,formation,120,My wife and I were on our way to Reno. I was looking at a large cloud formation that was pouring out an unbelievable amount of rain. Wh,39.5297222,-119.8127778
1998,06 June 1998,tampa,fl,light,25,5 G light&#44 only alien&#44 or they figured out how to reverse gravity&#44 or the sense of.,27.9472222,-82.4586111
1998,06 June 1998,elba,ny,light,20,Saw brief white light travel allong the horizon&#44  stop midflight and then continue on a different course&#44  at extreem rates of exellera,43.0772222,-78.1872222
1998,06 June 1998,vero beach,fl,light,60,FLAME COLOR LIGHT BRITE AND STEADY FLEW ACROSS TO THE EAST AT 2000 FEET. APPEARED TO HAVE AN OVERHEAD REFLECTION OF AN OBJECT HOVERING,27.6383333,-80.3975
1998,06 June 1998,clifton,nj,sphere,600,I was sitting down when it came from the north. I call my wife&#44 she saw it slow and hovering towards the eastern sky.It was visible for,40.8583333,-74.1641667
1998,07 June 1998,elkhart,in,cigar,8,Silver Cigar-Shaped Object&#44 Elkhart&#44 IN&#44,41.6819444,-85.9766667
1998,07 June 1998,rapid city,sd,other,10,Looked towards a thunderstorm approaching from the west.  First saw a bright shape in the sky in the northwest direction.  The light wa,44.0805556,-103.2305556
1998,08 June 1998,albany,or,cone,45,we saw 2 objects in the sky over albany or that stood still then took off in the sky we were driving north on I5 just inside city limit,44.6366667,-123.1047222
1998,09 June 1998,kansas city,ks,disk,60,My mother and I saw a disk shaped object rise above the horizon&#44 east of 78th street on I-70. Object then turned into a bluish white li,39.1141667,-94.6272222
1998,09 June 1998,bakersfield,ca,other,30,Dark oval with something attached to bottom of object about half the size as the top object hanging in a &quot;j&quot; type.,35.3733333,-119.0177778
1998,09 June 1998,cottonwood,az,other,300,Star shaped light turning red then white jumping across the sky split into 3 white lights then returned to red star,34.7391667,-112.0091667
1998,09 June 1998,idaho falls,id,other,120,Very large wedge (flying wing) with tall winglets (Looked to be about 15 to 20 feet tall)at each wing tip. There were what looked to be,43.4666667,-112.0333333
1998,10 June 1998,vass (town of&#44 on hwy #1),nc,circle,3,I saw a green irredesent ball in the sky,35.2561111,-79.2825
1998,10 June 1998,denver,co,fireball,2,Red fireball with red tail traveling east to west,39.7391667,-104.9841667
1998,10 June 1998,cream ridge,nj,triangle,16,Three small white lights in triangle formation flew over head at night then disappeared suddenly.,40.135,-74.5244444
1998,11 June 1998,monroe,wa,cylinder,3,On November&#446th&#441998&#44approximately 6:30pm&#44 I was heading west on Hwy2&#44 just out of Monroe&#44Wa. My girlfriend and I were just coming back,47.8555556,-121.9697222
1998,11 June 1998,kingman,az,fireball,120,Large bright circular light,35.1894444,-114.0522222
1998,11 June 1998,barstow (near&#44 on i-15 n),ca,fireball,2,Green fireball with a tail falls to earth near Barstow&#44 CA,34.8986111,-117.0219444
1998,11 June 1998,bend,or,formation,20,5 objects in straight line following one another. 3 objects in front as bright as surrounding stars; 4th as bright as vega; 5th as brig,44.0583333,-121.3141667
1998,11 June 1998,bothell,wa,oval,60,Saw 2 cylindrical and 4 oval objects slowly descend from clouds over the Wenatchee area. About 15 jets over area&#44 but only 2 or 3 at a,47.7625,-122.2041667
1998,12 June 1998,culpeper county (location unspecified),va,circle,1500,See Full description  ((Police officer reports sighting of a &quot;bright ball of light.&quot;)),38.4730556,-77.9969444
1998,12 June 1998,phoenix,az,cylinder,45,While working security I seen a object enter earths atmosphere&#44 then glide over mountains east of Phoenix.,33.4483333,-112.0733333
1998,12 June 1998,philipsburg,pa,disk,14400,Last evening my wife first saw 3 craft with red and white strobe lights flying horizontal and vertical in the clear sky outside my son&#39,40.8963889,-78.2208333
1998,12 June 1998,columbus,tx,fireball,4,Was heading back to Houston Tx&#44 when I saw a green fireball streak across the sky from west to east. Only it sorta dashed across like s,29.7063889,-96.5394444
1998,12 June 1998,rome,ga,fireball,7,NE to NW Very fast and low flying&#44 White light changing to Bright blue&#44 then blueish red glow&#44 turning to red&#44 then turning solid yello,34.2569444,-85.1647222
1998,12 June 1998,orange (w/b sr-22&#44 garden grove fwy&#44 @ main st.),ca,fireball,1,While driving on the freeway at 2358 hours on a Sunday night&#44 I observed a green fireball with an orange tail shoot straight down.,33.7877778,-117.8522222
1998,12 June 1998,santa rosa,ca,light,900,Pale red light&#44 approx. 1000 foot altitude&#44 very slowly elevated to 1500 feet&#44then proceded towards our direction&#44 so we continued driv,38.4405556,-122.7133333
1998,12 June 1998,las vegas,nv,triangle,300,Came over Mountain to East which has Antenni and banked to South and flew just below broken cloud cover.  It had no running lights but,36.175,-115.1363889
1998,01 July 1998,new york city (brooklyn),ny,diamond,60,Me and my friend were playing soccer and then we saw a big diamond shape with 3 huge lights.Then the shape flashed into the sky.,40.7141667,-74.0063889
1998,01 July 1998,renton,wa,sphere,300,I was watching TV in my brothers room when something in his window caught my eye.  At first it looked like a balloon in the far off dis,47.4830556,-122.2158333
1998,03 July 1998,chinook,mt,changing,7200,I was outside of my house&#44admiring the night sky&#44when I noticed an object streak across the sky and then stop very quickly. Then anothe,48.59,-109.2305556
1998,03 July 1998,west palm beach,fl,circle,300,Two bright circle lights seen in West Palm Beach&#44 Florida.,26.7052778,-80.0366667
1998,03 July 1998,sarasota,fl,cone,30,Object observed coming from SE at twilight&#44 sky very clear and not yet dark. Object was white with small white core moving towards us (,27.3361111,-82.5308333
1998,03 July 1998,punta gorda,fl,disk,300,Two brightly glowing objects sighted about 100 degees during twilight at about 40-50 degrees above the horizon.,26.9294444,-82.0455556
1998,03 July 1998,benson (just outside of),nc,fireball,120,A comnet shaped object suddenly appeared in the sky and appeared to move across the sky slowly until it turned away from me and disappe,35.3819444,-78.5488889
1998,03 July 1998,lehigh acres,fl,fireball,180,Two glowing fireball objects with a large afterglow spread out behind them.,26.625,-81.625
1998,03 July 1998,west palm beach (vero),fl,fireball,60,Two lights over ocean exploding into the sea.,26.7052778,-80.0366667
1998,03 July 1998,vero beach (northern),fl,formation,150,2 bright lights moving toward us one lower the other. One turns and disappears leaving an illuminated doughnut shaped fog.  Then the ot,27.6383333,-80.3975
